,number,value,datetime_start,datetime_complete,duration,params_agg_modes,params_allow_zero_in_degree,params_alphas,params_atom_featurizer,params_attn_drops,params_batch_size,params_bond_featurizer,params_dropout,params_edge_hidden_feats,params_feat_drops,params_graph_feat_size,params_hidden_feats,params_learning_rate,params_model_name,params_node_out_feats,params_num_heads,params_num_layers,params_optimizer,params_predictor_dropout,params_predictor_out_feats,params_residuals,params_rt_scaler,params_self_loop,params_share_weights,params_total_epochs,state
65,65,,2023-06-22 12:12:16.141736,2023-06-22 12:12:45.780669,0 days 00:00:29.638933,,,,attentive_featurizer,,367.0,attentive_featurizer,,187.0,,,,0.002492850515295738,MPNN,136.0,,,AdamW,,,,robust,False,,162.0,FAIL
66,66,,2023-06-22 12:12:46.878156,2023-06-22 12:13:16.656573,0 days 00:00:29.778417,,,,attentive_featurizer,,387.0,attentive_featurizer,,187.0,,,,0.0022165871411576306,MPNN,136.0,,,AdamW,,,,robust,False,,156.0,FAIL
67,67,,2023-06-22 12:13:17.738967,2023-06-22 12:13:48.287489,0 days 00:00:30.548522,,,,attentive_featurizer,,369.0,attentive_featurizer,,180.0,,,,0.0017627138700281398,MPNN,133.0,,,AdamW,,,,robust,False,,163.0,FAIL
68,68,,2023-06-22 12:13:49.398155,2023-06-22 12:14:19.380963,0 days 00:00:29.982808,,,,attentive_featurizer,,377.0,attentive_featurizer,,182.0,,,,0.0021660269747005804,MPNN,135.0,,,AdamW,,,,robust,False,,160.0,FAIL
69,69,,2023-06-22 12:14:20.518602,2023-06-22 12:14:51.774090,0 days 00:00:31.255488,,,,attentive_featurizer,,380.0,attentive_featurizer,,179.0,,,,0.0023245264536511374,MPNN,134.0,,,AdamW,,,,robust,False,,157.0,FAIL
70,70,,2023-06-22 12:14:52.987557,2023-06-22 12:15:22.923948,0 days 00:00:29.936391,,,,attentive_featurizer,,373.0,attentive_featurizer,,186.0,,,,0.0023617650580647982,MPNN,138.0,,,AdamW,,,,robust,False,,161.0,FAIL
71,71,,2023-06-22 12:15:23.996739,2023-06-22 12:15:54.010794,0 days 00:00:30.014055,,,,attentive_featurizer,,367.0,attentive_featurizer,,180.0,,,,0.0017988426345594854,MPNN,141.0,,,AdamW,,,,robust,False,,160.0,FAIL
72,72,,2023-06-22 12:15:55.171621,2023-06-22 12:16:24.641950,0 days 00:00:29.470329,,,,attentive_featurizer,,391.0,attentive_featurizer,,182.0,,,,0.0022549749350628734,MPNN,143.0,,,AdamW,,,,robust,False,,165.0,FAIL
73,73,,2023-06-22 12:16:25.590357,2023-06-22 12:16:56.638919,0 days 00:00:31.048562,,,,attentive_featurizer,,319.0,attentive_featurizer,,180.0,,,,0.0020084838539270104,MPNN,138.0,,,AdamW,,,,robust,False,,153.0,FAIL
74,74,,2023-06-22 12:16:57.716959,2023-06-22 12:17:26.222729,0 days 00:00:28.505770,,,,attentive_featurizer,,379.0,attentive_featurizer,,180.0,,,,0.0014980333069369457,MPNN,134.0,,,AdamW,,,,robust,False,,156.0,FAIL
75,75,,2023-06-22 12:17:27.278386,2023-06-22 12:17:58.036082,0 days 00:00:30.757696,,,,attentive_featurizer,,383.0,attentive_featurizer,,184.0,,,,0.0017044246221875141,MPNN,143.0,,,AdamW,,,,robust,False,,160.0,FAIL
76,76,,2023-06-22 12:17:59.156910,2023-06-22 12:18:28.493767,0 days 00:00:29.336857,,,,attentive_featurizer,,382.0,attentive_featurizer,,191.0,,,,0.002213728563206128,MPNN,134.0,,,AdamW,,,,robust,False,,158.0,FAIL
77,77,,2023-06-22 12:18:29.510908,2023-06-22 12:19:01.211543,0 days 00:00:31.700635,,,,attentive_featurizer,,386.0,attentive_featurizer,,175.0,,,,0.003330613555222732,MPNN,136.0,,,AdamW,,,,robust,False,,153.0,FAIL
78,78,,2023-06-22 12:19:02.334252,2023-06-22 12:19:31.441569,0 days 00:00:29.107317,,,,attentive_featurizer,,362.0,attentive_featurizer,,175.0,,,,0.00228326808380675,MPNN,119.0,,,AdamW,,,,robust,False,,157.0,FAIL
79,79,,2023-06-22 12:19:32.576248,2023-06-22 12:20:03.664336,0 days 00:00:31.088088,,,,attentive_featurizer,,377.0,attentive_featurizer,,178.0,,,,0.0022286133293676143,MPNN,135.0,,,AdamW,,,,robust,False,,161.0,FAIL
80,80,,2023-06-22 12:20:04.782500,2023-06-22 12:20:34.267796,0 days 00:00:29.485296,,,,attentive_featurizer,,355.0,attentive_featurizer,,182.0,,,,0.0014768759298355036,MPNN,135.0,,,AdamW,,,,robust,False,,162.0,FAIL
81,81,,2023-06-22 12:20:35.370190,2023-06-22 12:21:05.225408,0 days 00:00:29.855218,,,,attentive_featurizer,,391.0,attentive_featurizer,,176.0,,,,0.0022471852802224378,MPNN,135.0,,,AdamW,,,,robust,False,,161.0,FAIL
82,82,,2023-06-22 12:21:06.186771,2023-06-22 12:21:37.261693,0 days 00:00:31.074922,,,,attentive_featurizer,,383.0,attentive_featurizer,,179.0,,,,0.0018457885001906633,MPNN,147.0,,,AdamW,,,,robust,False,,156.0,FAIL
83,83,,2023-06-22 12:21:38.369313,2023-06-22 12:22:06.879453,0 days 00:00:28.510140,,,,attentive_featurizer,,375.0,attentive_featurizer,,181.0,,,,0.0021219081208936766,MPNN,140.0,,,AdamW,,,,robust,False,,158.0,FAIL
84,84,,2023-06-22 12:22:07.965841,2023-06-22 12:22:38.791529,0 days 00:00:30.825688,,,,attentive_featurizer,,377.0,attentive_featurizer,,180.0,,,,0.0030036230590915754,MPNN,135.0,,,AdamW,,,,robust,False,,157.0,FAIL
85,85,,2023-06-22 12:22:40.316271,2023-06-22 12:23:10.957747,0 days 00:00:30.641476,,,,attentive_featurizer,,375.0,attentive_featurizer,,178.0,,,,0.0023951974705709598,MPNN,135.0,,,AdamW,,,,robust,False,,165.0,FAIL
86,86,,2023-06-22 12:23:12.083170,2023-06-22 12:23:43.167295,0 days 00:00:31.084125,,,,attentive_featurizer,,382.0,attentive_featurizer,,177.0,,,,0.0019041842992479634,MPNN,133.0,,,AdamW,,,,robust,False,,161.0,FAIL
87,87,,2023-06-22 12:23:44.170108,2023-06-22 12:24:14.154406,0 days 00:00:29.984298,,,,attentive_featurizer,,382.0,attentive_featurizer,,180.0,,,,0.0017084898263473858,MPNN,133.0,,,AdamW,,,,robust,False,,162.0,FAIL
88,88,,2023-06-22 12:24:15.285037,2023-06-22 12:24:44.734726,0 days 00:00:29.449689,,,,attentive_featurizer,,383.0,attentive_featurizer,,181.0,,,,0.002777022129439374,MPNN,133.0,,,AdamW,,,,robust,False,,153.0,FAIL
89,89,,2023-06-22 12:24:45.709449,2023-06-22 12:25:15.508670,0 days 00:00:29.799221,,,,attentive_featurizer,,373.0,attentive_featurizer,,179.0,,,,0.002092215275486522,MPNN,127.0,,,AdamW,,,,robust,False,,152.0,FAIL
90,90,,2023-06-22 12:25:16.567105,2023-06-22 12:25:47.877433,0 days 00:00:31.310328,,,,attentive_featurizer,,374.0,attentive_featurizer,,178.0,,,,0.0022869651194256774,MPNN,130.0,,,AdamW,,,,robust,False,,158.0,FAIL
91,91,,2023-06-22 12:25:47.891002,2023-06-22 12:26:18.170020,0 days 00:00:30.279018,,,,attentive_featurizer,,375.0,attentive_featurizer,,182.0,,,,0.002157281838246286,MPNN,136.0,,,AdamW,,,,robust,False,,159.0,FAIL
92,92,,2023-06-22 12:26:19.250202,2023-06-22 12:26:48.861138,0 days 00:00:29.610936,,,,attentive_featurizer,,378.0,attentive_featurizer,,184.0,,,,0.0023838443614476275,MPNN,137.0,,,AdamW,,,,robust,False,,158.0,FAIL
93,93,,2023-06-22 12:26:49.978354,2023-06-22 12:27:19.126933,0 days 00:00:29.148579,,,,attentive_featurizer,,392.0,attentive_featurizer,,179.0,,,,0.0020056502981861254,MPNN,137.0,,,AdamW,,,,robust,False,,157.0,FAIL
94,94,,2023-06-22 12:27:20.177645,2023-06-22 12:27:50.940638,0 days 00:00:30.762993,,,,attentive_featurizer,,379.0,attentive_featurizer,,179.0,,,,0.0029749521435005616,MPNN,129.0,,,AdamW,,,,robust,False,,168.0,FAIL
95,95,,2023-06-22 12:27:50.953927,2023-06-22 12:28:20.847583,0 days 00:00:29.893656,,,,attentive_featurizer,,386.0,attentive_featurizer,,180.0,,,,0.0023364935773866687,MPNN,135.0,,,AdamW,,,,robust,False,,162.0,FAIL
96,96,,2023-06-22 12:28:21.921057,2023-06-22 12:28:52.351445,0 days 00:00:30.430388,,,,attentive_featurizer,,382.0,attentive_featurizer,,198.0,,,,0.001625358050240264,MPNN,133.0,,,AdamW,,,,robust,False,,160.0,FAIL
97,97,,2023-06-22 12:28:53.441519,2023-06-22 12:29:23.437501,0 days 00:00:29.995982,,,,attentive_featurizer,,382.0,attentive_featurizer,,183.0,,,,0.0023250698360045034,MPNN,137.0,,,AdamW,,,,robust,False,,164.0,FAIL
98,98,,2023-06-22 12:29:24.519371,2023-06-22 12:29:53.843786,0 days 00:00:29.324415,,,,attentive_featurizer,,378.0,attentive_featurizer,,180.0,,,,0.0021817262142542473,MPNN,139.0,,,AdamW,,,,robust,False,,163.0,FAIL
99,99,,2023-06-22 12:29:53.855811,2023-06-22 12:30:25.279969,0 days 00:00:31.424158,,,,attentive_featurizer,,376.0,attentive_featurizer,,180.0,,,,0.0021737108045216755,MPNN,138.0,,,AdamW,,,,robust,False,,155.0,FAIL
100,100,,2023-06-22 12:30:26.221285,2023-06-22 12:30:56.373990,0 days 00:00:30.152705,,,,attentive_featurizer,,380.0,attentive_featurizer,,177.0,,,,0.002131630075832621,MPNN,136.0,,,AdamW,,,,robust,False,,158.0,FAIL
101,101,,2023-06-22 12:30:57.485487,2023-06-22 12:31:27.346791,0 days 00:00:29.861304,,,,attentive_featurizer,,374.0,attentive_featurizer,,184.0,,,,0.0027154917745161977,MPNN,127.0,,,AdamW,,,,robust,False,,160.0,FAIL
102,102,,2023-06-22 12:31:28.401579,2023-06-22 12:31:58.579135,0 days 00:00:30.177556,,,,attentive_featurizer,,380.0,attentive_featurizer,,186.0,,,,0.0023334045456979706,MPNN,151.0,,,AdamW,,,,robust,False,,159.0,FAIL
